outlet_name,outletcode,location_hierarchy,sub_channel,coordinate,latitude,longitude,address
BIG MART RETAIL SOLUTIONS PVT. LTD.(BAGDOLA),DS009051,Metro > ASE-GT-NCR-North > New Delhi > Delhi > North > New Delhi > NCR-HAR > India,MG Hypermarket,[object Object],28.5828757,77.0887035,"RZP-151,MAIN BAGDOLA-PALAM ROAD RAJ NAGARPART-2 N.D-110077"
Sunidhi medicos,PH106525,Metro > ASE-GT-NCR-North > New Delhi > Delhi > North > New Delhi > NCR-HAR > India,Pharmacy,[object Object],28.6115675,77.0698119,Shop no 2 plot no4 khasra no 27/1
Bhawana Medicos,WP002576,Metro > ASE-GT-NCR-East > New Delhi > Delhi > North > New Delhi > NCR-HAR > India,Wholesale Pharmacy,[object Object],28.6962208,77.2712758,"208,Main Gamari Road, Nr. GONDHA"
Inaya pharmacy,PH102387,Metro > ASE-GT-NCR-East > New Delhi > Delhi > North > New Delhi > NCR-HAR > India,Pharmacy,[object Object],28.7140564,77.2701893,"E-591,,main 33 futa road nehru vihar"
NEW JAGDAMBA MEDICOS,PH088702,Metro > ASE-GT-NCR-North > New Delhi > Delhi > North > New Delhi > NCR-HAR > India,Pharmacy,[object Object],28.7450236,77.2020326,Gali no 110 25ft road Sant Nagar
HARIOM MEDICAL STORE,PH086144,Metro > ASE-GT-NCR-North > New Delhi > Delhi > North > New Delhi > NCR-HAR > India,Pharmacy,[object Object],28.6011761,76.9884084,Maine Gurugram-Road Opp . BDO
Tomar pharmacy,PH126266,Metro > ASE-GT-NCR-South > New Delhi > Delhi > North > New Delhi > NCR-HAR > India,Pharmacy,[object Object],28.4957664,77.1914693,"D-59, Gali no 1, Rajpur khurd,"
J P Supermart,DS018415,Metro > ASE-GT-NCR-South > New Delhi > Delhi > North > New Delhi > NCR-HAR > India,Super Grocery,[object Object],28.5123837,77.2674197,"shop no-02, jalam mohalla, tuglakabad vill, near shiv mandir pin-110044"
ALOK D MART,PH089162,Metro > ASE-GT-NCR-South > New Delhi > Delhi > North > New Delhi > NCR-HAR > India,Pharmacy,[object Object],28.4875809,77.1866628,"Shop No.2.CH No.-714-715/1,Plot No-"
Shri Vishnu Chemist,PH115103,Metro > ASE-GT-NCR-North > New Delhi > Delhi > North > New Delhi > NCR-HAR > India,Pharmacy,[object Object],28.5828089,77.0885839,"RZ-148A,Plot No,B-9,Shop No 3,Raj"
