outlet_name,outletcode,location_hierarchy,sub_channel,coordinate,latitude,longitude,address,loginId
Baniya Ki Dukaan Pvt.Ltd.(Chanchal Park),PH023752,Metro > ASE-GT-NCR-North > New Delhi > Delhi > North > New Delhi > NCR-HAR > India,MG Hypermarket,[object Object],28.681939,77.0568101,Khasra No.7/22/1 And 7/22/2 Village Tilangpur Kotla New Chanchal Park,DSR-NCR-160
RAJ MANDIR HYPER MARKET (NANGLOI),MGH00048,Metro > ASE-GT-NCR-North > New Delhi > Delhi > North > New Delhi > NCR-HAR > India,MG Hypermarket,[object Object],28.6720595,77.0676518,"Khasra No,35-20,F-100, Rajendra Park Extension,Rohtak Road Near Nangloi Metro Station Opp, Metro Pillar No 419, New Delhi, 110041",DSR-GT-NCR-652
VEDANT MEDIPOINT,PH095384,Metro > ASE-GT-NCR-North > New Delhi > Delhi > North > New Delhi > NCR-HAR > India,Pharmacy,[object Object],28.6572864,77.1400262,Shop no -2 E-46 G/F Raghubir Nagar,DSR-GT-NCR-629
Kavya medicos,PH089921,Metro > ASE-GT-NCR-South > New Delhi > Delhi > North > New Delhi > NCR-HAR > India,Pharmacy,[object Object],28.4986036,77.2325855,Shop no 3-316/L1 Shani bazzar road  0,DSR-GT-NCR-572
Joshi Pharma,PH044124,Metro > ASE-GT-NCR-South > New Delhi > Delhi > North > New Delhi > NCR-HAR > India,Pharmacy,[object Object],28.4968826,77.2350105,L-285 Gali no-4 sani Bazar sangam Vihar,DSR-GT-NCR-610
Hindustan medical,PH104259,Metro > ASE-GT-NCR-North > New Delhi > Delhi > North > New Delhi > NCR-HAR > India,Pharmacy,[object Object],28.6959205,77.0814066,I block - 625 mangol puri delhi,DSR-NCR-037
OM Medical Store,PH052273,Metro > ASE-GT-NCR-North > New Delhi > Delhi > North > New Delhi > NCR-HAR > India,Pharmacy,[object Object],28.6948105,77.0886092,s1-14 DDA Market Mangolpuri,DSR-NCR-037
Aditya Medicos,PH116209,Metro > ASE-GT-NCR-North > New Delhi > Delhi > North > New Delhi > NCR-HAR > India,Pharmacy,[object Object],28.7018298,77.0812756,"P 2/10,Shop No 2, Sultan Puri",DSR-NCR-032
ARYAN MEDICAL STORE,PH108464,Metro > ASE-GT-NCR-North > New Delhi > Delhi > North > New Delhi > NCR-HAR > India,Pharmacy,[object Object],28.722095,77.1562367,B-14 GALI NO 3,DSR-NCR-031
Krishna Medicos,PH108672,Metro > ASE-GT-NCR-North > New Delhi > Delhi > North > New Delhi > NCR-HAR > India,Pharmacy,[object Object],28.6486809,77.1160433,"S-221/60, Vishnu Garden",DSR-GT-DEL-783
PRABHU MEDICOSE,PH053479,Metro > ASE-GT-NCR-North > New Delhi > Delhi > North > New Delhi > NCR-HAR > India,Pharmacy,[object Object],28.7605713,77.1893437,"Opp. Govt. Hospital, Koushik Enclave, Burari,Delhi-110084",DSR-GT-NCR-457
Garg medical Store,PH087706,Metro > ASE-GT-NCR-South > New Delhi > Delhi > North > New Delhi > NCR-HAR > India,Pharmacy,[object Object],28.4951043,77.2351933,"L-502/4, shukra bazar road,  0",DSR-GT-NCR-610
BANIYA KI DUKAN PVT LTD R/N,MGH000407,Metro > ASE-GT-NCR-North > New Delhi > Delhi > North > New Delhi > NCR-HAR > India,MG Hypermarket,[object Object],28.6818639,77.0568365,KH NO.103/13 RAJEEV NAGAR,DSR-NCR-160
Jagdamba Pharmacy,PH115998,Metro > ASE-GT-NCR-South > New Delhi > Delhi > North > New Delhi > NCR-HAR > India,Pharmacy,[object Object],28.492983,77.2301485,"L - 1 , 1838, Kharsa no 57/8",DSR-GT-NCR-572
Raj Mandir Super Market (Pitampura),DS013906,Metro > ASE-GT-NCR-North > New Delhi > Delhi > North > New Delhi > NCR-HAR > India,MG Supermarket,[object Object],28.7213617,77.1578057,ground floor plot no 4 pp block pitampura new Delhi -34,DSR-NCR-031
Shiv Guru Store,TG024059,Metro > ASE-GT-NCR-North > New Delhi > Delhi > North > New Delhi > NCR-HAR > India,Traditional Grocery,[object Object],28.7677202,77.1861971,25 futa road Uttarakhand colony,DSR-GT-NCR-457
